127.0.0.1 - - [13/Jan/2022:09:35:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:35:18 +0900] "GET /day02/test.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:35:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:35:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:36:08 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:36:27 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:37:02 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:37:02 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:37:12 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:37:25 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:27 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:44 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:45 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:46 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:47 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:38:49 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:00 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:00 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:28 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:28 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:30 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:31 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:32 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:33 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cascadingTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:09:42:36 +0900] "GET /day02/cacadingCss.css HTTP/1.1" 404 832
